,Job Title,Min Salary Estimate,Max Salary Estimate,Rating,Company Name,City,State,HCity,HState,Size,Founded,Type of ownership,Industry,Sector,Revenue,Number of Competitors,Easy Apply
0,"Data Analyst, Center on Immigration and Justice (CIJ)",37000.0,66000,3.2,Vera Institute of Justice,New York,NY,New York,NY,201-500,1961,Nonprofit Organization,Social Assistance,Non-Profit,100 to 500 million,,True
1,Quality Data Analyst,37000.0,66000,3.8,Visiting Nurse Service of New York,New York,NY,New York,NY,10000+,1893,Nonprofit Organization,Health Care Services & Hospitals,Health Care,2 to 5 billion,,
2,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",37000.0,66000,3.4,Squarespace,New York,NY,New York,NY,1001-5000,2003,Private Company,Internet,Information Technology,,1.0,
3,Data Analyst,37000.0,66000,4.1,Celerity,New York,NY,McLean,VA,201-500,2002,Business,IT Services,Information Technology,50 to 100 million,,
4,Reporting Data Analyst,37000.0,66000,3.9,FanDuel,New York,NY,New York,NY,501-1000,2009,Private Company,Sports & Recreation,"Arts, Entertainment & Recreation",100 to 500 million,1.0,True
5,Data Analyst,37000.0,66000,3.9,Point72,New York,NY,Stamford,CT,1001-5000,2014,Private Company,Investment Banking & Asset Management,Finance,,,
6,Business/Data Analyst (FP&A),37000.0,66000,4.4,Two Sigma,New York,NY,New York,NY,1001-5000,2001,Private Company,Investment Banking & Asset Management,Finance,,,
7,Data Science Analyst,37000.0,66000,3.7,GNY Insurance Companies,New York,NY,New York,NY,201-500,1914,Private Company,Insurance Carriers,Insurance,100 to 500 million,3.0,True
8,Data Analyst,37000.0,66000,4.0,DMGT,New York,NY,London,United Kingdom,5001-10000,1896,Public Company,Venture Capital & Private Equity,Finance,1 to 2 billion,3.0,
9,"Data Analyst, Merchant Health",37000.0,66000,4.4,Riskified,New York,NY,New York,NY,501-1000,2013,Private Company,Research & Development,Business Services,,2.0,
10,Data Analyst,37000.0,66000,4.0,NYU Langone Health,New York,NY,New York,NY,10000+,1841,Hospital,Health Care Services & Hospitals,Health Care,5 to 10 billion,2.0,
11,Data Analyst,37000.0,66000,-1.0,BulbHead,Fairfield,NJ,,,1-50,-1,Private Company,,,,,
12,DATA ANALYST,37000.0,66000,3.7,Montefiore Medical,New York,NY,Bronx,NY,10000+,1884,Nonprofit Organization,Health Care Services & Hospitals,Health Care,2 to 5 billion,,
13,Senior Data Analyst,37000.0,66000,3.0,Known,New York,NY,New York,NY,201-500,2004,Private Company,Advertising & Marketing,Business Services,100 to 500 million,,True
14,Investment Advisory Data Analyst,37000.0,66000,3.4,Advisor Group,Jersey City,NJ,Phoenix,AZ,1001-5000,2016,Private Company,Brokerage Services,Finance,1 to 5 million,,
15,Sustainability Data Analyst,37000.0,66000,3.6,CodeGreen Solutions,New York,NY,New York,NY,1-50,-1,Private Company,Building & Personnel Services,Business Services,,,
16,Data Analyst,37000.0,66000,3.8,Undertone,New York,NY,New York,NY,201-500,2001,Business,Advertising & Marketing,Business Services,,3.0,True
17,Clinical Data Analyst,37000.0,66000,3.8,NYSTEC,New York,NY,Rome,NY,51-200,1996,Nonprofit Organization,Consulting,Business Services,25 to 50 million,3.0,
18,DATA PROGRAMMER/ANALYST,37000.0,66000,3.9,"Education Development Center, Inc.",New York,NY,Waltham,MA,501-1000,1958,Nonprofit Organization,Research & Development,Business Services,100 to 500 million,,
19,Data Analyst,37000.0,66000,4.9,Teachers Pay Teachers,New York,NY,New York,NY,51-200,2006,Private Company,Internet,Information Technology,,,
20,"Product Analyst, Data Science",37000.0,66000,4.4,Google,New York,NY,Mountain View,CA,10000+,1998,Public Company,Internet,Information Technology,10+ billion,3.0,
21,Data Science Analyst,37000.0,66000,-1.0,MUSIC & Entertainment,New York,NY,Marina del Rey,CA,,-1,Public Company,,,,,
22,Data Analyst - Intex Developer,37000.0,66000,3.3,Macquarie Group,New York,NY,Sydney,Australia,10000+,1969,Public Company,Investment Banking & Asset Management,Finance,5 to 10 billion,3.0,
23,Data Analyst,37000.0,66000,3.5,Andiamo,New York,NY,Warren,MI,201-500,-1,Private Company,Casual Restaurants,"Restaurants, Bars & Food Services",1 to 5 million,,
24,Entry Level / Jr. Data Analyst,37000.0,66000,3.8,Dash Technologies Inc,New York,NY,Columbus,OH,1-50,-1,,,,,,
25,Data Analyst,37000.0,66000,4.0,Hearst Communications,New York,NY,San Francisco,CA,1-50,-1,Private Company,Advertising & Marketing,Business Services,Less than 1 million,,
26,Data + Business Intelligence Analyst,37000.0,66000,5.0,Duolingo,New York,NY,Pittsburgh,PA,201-500,2011,Private Company,Internet,Information Technology,10 to 25 million,,
27,"Data Analyst, Product",37000.0,66000,4.8,Ro,New York,NY,New York,NY,51-200,2017,Private Company,Health Care Services & Hospitals,Health Care,,,
28,Data Analyst Entry Level,37000.0,66000,3.7,Endai,New York,NY,New York,NY,1-50,-1,Private Company,Advertising & Marketing,Business Services,1 to 5 million,,
29,Data Analyst,37000.0,66000,4.7,BlueLabs,New York,NY,Washington,DC,1-50,-1,Private Company,Research & Development,Business Services,,,
30,Data Analyst,46000.0,87000,3.6,Revel,Brooklyn,NY,Seattle,WA,51-200,2005,Private Company,Consulting,Business Services,25 to 50 million,,True
31,Data Analyst,46000.0,87000,3.6,NALLAS CORPORATION,Jersey City,NJ,Newtown,PA,1-50,-1,Private Company,Enterprise Software & Network Solutions,Information Technology,1 to 5 million,,
32,Data Analyst,46000.0,87000,3.5,Pozent,New York,NY,Piscataway,NJ,1-50,-1,Contract,,,Less than 1 million,,
33,"Data Science Analyst, Capital Markets",46000.0,87000,3.2,SoFi,New York,NY,San Francisco,CA,1001-5000,2011,Private Company,Lending,Finance,,,
34,Data Analyst (Games),46000.0,87000,-1.0,Carry1st,New York,NY,,,,-1,,,,,,
35,Analyst/Associate Global Markets Credit Data Analyst,46000.0,87000,3.7,Bank of America,New York,NY,Charlotte,NC,10000+,1904,Public Company,Banks & Credit Unions,Finance,10+ billion,,
36,Data Business Analyst,46000.0,87000,-1.0,Clear Street,New York,NY,New York,NY,51-200,2018,Public Company,,,1 to 5 million,,
37,Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,46000.0,87000,3.6,Nutech Information Systems,New York,NY,Westmont,IL,1-50,-1,Private Company,Computer Hardware & Software,Information Technology,Less than 1 million,,
38,Data Science Analyst/Engineer,46000.0,87000,4.0,NYU Langone Health,New York,NY,New York,NY,10000+,1841,Hospital,Health Care Services & Hospitals,Health Care,5 to 10 billion,2.0,
39,Data Analyst,46000.0,87000,4.6,The Trevor Project,New York,NY,West Hollywood,CA,51-200,-1,Nonprofit Organization,Social Assistance,Non-Profit,10 to 25 million,,
40,"Business Analyst, Data Platforms",46000.0,87000,-1.0,Pinto,New York,NY,New York,NY,1-50,-1,Private Company,,,,,
41,Behavioral Data Analyst,46000.0,87000,-1.0,AB InBev,New York,NY,Kyiv,Ukraine,1001-5000,-1,Public Company,,,,,
42,Data Analyst,46000.0,87000,5.0,Whip Media Group,New York,NY,Santa Monica,CA,51-200,2016,Private Company,,,,,
43,Data Analyst -1+ year Contract - NYC,46000.0,87000,4.0,Two95 International Inc.,New York,NY,Cherry Hill,NJ,1-50,-1,Private Company,Staffing & Outsourcing,Business Services,1 to 5 million,,
44,Data Analyst,46000.0,87000,3.0,Vettery,New York,NY,New York,NY,201-500,2013,Private Company,Internet,Information Technology,,3.0,
45,Data Analyst,46000.0,87000,2.9,"Nesco Resource, LLC",New York,NY,Cleveland,OH,1001-5000,1956,Private Company,Staffing & Outsourcing,Business Services,500 million to 1 billion,,
46,Advertising Data Analyst,46000.0,87000,4.0,Hearst Communications,New York,NY,San Francisco,CA,1-50,-1,Private Company,Advertising & Marketing,Business Services,Less than 1 million,,
47,Data Analyst,46000.0,87000,3.6,MediaMath,New York,NY,New York,NY,501-1000,2007,Private Company,Advertising & Marketing,Business Services,100 to 500 million,3.0,True
48,Market Data Reporting Analyst,46000.0,87000,4.9,Jordan & Jordan,New York,NY,New York,NY,1-50,1990,Private Company,Brokerage Services,Finance,,,
49,"Senior Analyst, Data Science",46000.0,87000,3.9,Roku,New York,NY,San Jose,CA,1001-5000,2002,Public Company,IT Services,Information Technology,500 million to 1 billion,,
50,"Senior Data Analyst, Disney+",46000.0,87000,4.0,Walt Disney Co.,New York,NY,Burbank,CA,10000+,1923,Public Company,Motion Picture Production & Distribution,Media,10+ billion,3.0,
51,"Office of the CAO | Reference Data, Project Manager/Business Analyst",46000.0,87000,3.8,Citadel,New York,NY,Chicago,IL,1001-5000,1990,Private Company,,,50 to 100 million,3.0,
52,Business Data Analyst,46000.0,87000,3.7,Xoriant Corporation,Jersey City,NJ,Sunnyvale,CA,1001-5000,1990,Private Company,IT Services,Information Technology,100 to 500 million,3.0,
53,Senior Data Analyst,46000.0,87000,3.6,Gemini,New York,NY,New York,NY,51-200,2015,Private Company,Brokerage Services,Finance,,,
